chrom	start	end	p-value
NC_029516.1	2474	2475	0.691470616886678
NC_029516.1	2501	2502	0.709109817581575
NC_029516.1	2538	2539	0.374440842011122
NC_029516.1	4175	4176	0.685282584759596
NC_029516.1	4207	4208	0.254362506595113
NC_029516.1	4237	4238	0.835733481911303
NC_029516.1	8989	8990	0.741687686084038
NC_029516.1	9219	9220	0.218665421191413
NC_029516.1	9230	9231	0.13157040141334
NC_029516.1	9237	9238	0.0104400152937666
NC_029516.1	9270	9271	0.4825674116559
NC_029516.1	9281	9282	0.756613799291964
NC_029516.1	19712	19713	0.455730959615117
NC_029516.1	19715	19716	0.679715103216095
NC_029516.1	19717	19718	0.236923670819635
NC_029516.1	31343	31344	0.657229325636157
NC_029516.1	31392	31393	0.508944247785423
NC_029516.1	31413	31414	0.839278734461699
NC_029516.1	31425	31426	0.269018189943856
NC_029516.1	31429	31430	0.43991240979606
NC_029516.1	31435	31436	0.797037183838761
NC_029516.1	39891	39892	0.772191348719722
NC_029516.1	39894	39895	0.0524010935761812
NC_029516.1	39900	39901	0.297969724102836
NC_029516.1	39913	39914	0.0744890257511077
NC_029516.1	39916	39917	0.197751737320039
NC_029516.1	39921	39922	0.462913766882011
NC_029516.1	39938	39939	0.822362809849197
NC_029516.1	40008	40009	0.583317385629572
NC_029516.1	40020	40021	0.877784776083464
NC_029516.1	40051	40052	0.398828627848336
NC_029516.1	51004	51005	0.215658868447478
NC_029516.1	51453	51454	0.167654759241757
NC_029516.1	92466	92467	0.294302170206327
NC_029516.1	92477	92478	0.242840433806621
NC_029516.1	92509	92510	0.402642268942153
NC_029516.1	92538	92539	0.738767530370789
NC_029516.1	92545	92546	0.420402415524733
NC_029516.1	97761	97762	0.62761644587162
NC_029516.1	97765	97766	0.381683502038166
NC_029516.1	97774	97775	0.534760923066276
NC_029516.1	97780	97781	0.535302569114204
NC_029516.1	97839	97840	0.0496415362612262
NC_029516.1	97841	97842	0.496561931103616
NC_029516.1	97848	97849	0.456354758879225
NC_029516.1	108537	108538	0.695490741061687
NC_029516.1	108557	108558	0.108439618172869
NC_029516.1	108631	108632	0.403354680167471
NC_029516.1	122598	122599	0.741522174993584
NC_029516.1	122694	122695	0.289984138343655
NC_029516.1	123424	123425	0.980034298099122
NC_029516.1	123431	123432	0.438650209639211
NC_029516.1	127303	127304	0.390202384865059
NC_029516.1	127319	127320	0.631166979566073
NC_029516.1	127352	127353	0.211265968620626
NC_029516.1	127475	127476	0.640180250433038
NC_029516.1	129368	129369	0.998786226155654
NC_029516.1	137942	137943	0.791672764676405
NC_029516.1	138893	138894	0.685684505460486
NC_029516.1	138929	138930	0.658202277148879
NC_029516.1	138964	138965	0.458375469341801
NC_029516.1	141614	141615	0.0181168016996108
NC_029516.1	141653	141654	0.250862116408964
NC_029516.1	141687	141688	0.242929275393986
NC_029516.1	141691	141692	0.714055026848679
NC_029516.1	144484	144485	0.207496674894035
NC_029516.1	144568	144569	0.552349983835179
NC_029516.1	145589	145590	0.612007104988919
NC_029516.1	145597	145598	0.728340606822385
NC_029516.1	145601	145602	0.946680441888437
NC_029516.1	145617	145618	0.941577582531973
NC_029516.1	145619	145620	0.972565572947664
NC_029516.1	145627	145628	0.143075199740546
NC_029516.1	145628	145629	0.613757210282196
NC_029516.1	145647	145648	0.988896032752926
NC_029516.1	145648	145649	0.552408400292411
NC_029516.1	145649	145650	0.32072946678049
NC_029516.1	145650	145651	0.940804903773492
NC_029516.1	145654	145655	0.143092752461059
NC_029516.1	145655	145656	0.546237938675974
NC_029516.1	145675	145676	0.98164184121662
NC_029516.1	145676	145677	0.288513396646662
NC_029516.1	145677	145678	0.529378901728082
NC_029516.1	145678	145679	0.906842476260685
NC_029516.1	145681	145682	0.719404805116427
NC_029516.1	145682	145683	0.23587055038897
NC_029516.1	145698	145699	0.57195519404963
NC_029516.1	145701	145702	0.129464063026245
NC_029516.1	145705	145706	0.818192512738188
NC_029516.1	146073	146074	0.971941106819722
NC_029516.1	146100	146101	0.548478217740704
NC_029516.1	146118	146119	0.368274868276306
NC_029516.1	146130	146131	0.411050846961176
NC_029516.1	146141	146142	0.280399491325969
NC_029516.1	153180	153181	0.173187794765749
NC_029516.1	153200	153201	0.648191285163875
NC_029516.1	155843	155844	0.674530319250406
NC_029516.1	155845	155846	0.926108818024613
NC_029516.1	155850	155851	0.706547549012342
NC_029516.1	155871	155872	0.925911261752131
NC_029516.1	155873	155874	0.238582684054795
NC_029516.1	155877	155878	0.769902749822446
NC_029516.1	155888	155889	0.183024303022118
NC_029516.1	155893	155894	0.799690411267998
NC_029516.1	155896	155897	0.234799823393813
NC_029516.1	155900	155901	0.470163510168511
NC_029516.1	171220	171221	0.954573940745756
NC_029516.1	171236	171237	0.598047478067188
NC_029516.1	171272	171273	0.266533640922329
NC_029516.1	171274	171275	0.197885327040519
NC_029516.1	171469	171470	0.282651327243972
NC_029516.1	171472	171473	0.607108011645495
NC_029516.1	171537	171538	0.0661449896923703
NC_029516.1	171542	171543	0.14864206336
NC_029516.1	203489	203490	0.351797530733073
NC_029516.1	203535	203536	0.78790091467843
NC_029516.1	203579	203580	0.600706963960445
NC_029516.1	203580	203581	0.0991377535450292
NC_029516.1	203604	203605	0.244200733345665
NC_029516.1	223971	223972	0.329097450321428
NC_029516.1	271211	271212	0.231349512202277
NC_029516.1	271217	271218	0.626756006136949
NC_029516.1	271225	271226	0.417050998803285
NC_029516.1	271231	271232	0.610943297673091
NC_029516.1	271313	271314	0.218462434374242
NC_029516.1	271314	271315	0.100612243996514
NC_029516.1	271327	271328	0.302442656106324
NC_029516.1	271328	271329	0.312848303570582
NC_029516.1	271410	271411	0.165711307198397
NC_029516.1	271411	271412	0.897520334222348
NC_029516.1	280454	280455	0.539079806046227
NC_029516.1	280455	280456	0.88710216257001
NC_029516.1	280526	280527	0.339963252098445
NC_029516.1	282594	282595	0.339938172958577
NC_029516.1	282597	282598	0.481328688670027
NC_029516.1	291557	291558	0.816146925108738
NC_029516.1	291579	291580	0.895663620493237
NC_029516.1	291596	291597	0.4200043241066
NC_029516.1	291652	291653	0.26382258485727
NC_029516.1	296019	296020	0.720868949950398
NC_029516.1	296026	296027	0.0188931419632052
NC_029516.1	296033	296034	0.510512992251763
NC_029516.1	296034	296035	0.557596724837836
NC_029516.1	296076	296077	0.22051270946119
NC_029516.1	296092	296093	0.833901893674076
NC_029516.1	296093	296094	0.461682116026753
NC_029516.1	296097	296098	0.561319315808796
NC_029516.1	296098	296099	0.2490001658425
NC_029516.1	296105	296106	0.607046018081524
NC_029516.1	296106	296107	0.0825105269279309
NC_029516.1	296117	296118	0.383711644658268
